custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,gender_column
JS42382,Oregon,Male,Master,617291.42,99960,76.0,1/0/00,Corporate Auto,Four-Door Car,364,M
BT30554,Arizona,F,Bachelor,1034632.45,0,98.0,1/0/00,Personal Auto,Four-Door Car,470,F
VP57424,Nevada,F,Bachelor,699700.86,55873,88.0,1/0/00,Personal Auto,Four-Door Car,299,F
VU19243,Arizona,F,High School or Below,419625.77,18052,111.0,1/0/00,Personal Auto,Four-Door Car,699,F
TA82973,Oregon,F,High School or Below,785810.98,28937,104.0,1/2/00,Personal Auto,SUV,117,F
GK71720,Oregon,F,High School or Below,606434.4,0,86.0,1/0/00,Personal Auto,Four-Door Car,545,F
OQ61223,California,Male,College,1749752.2,0,73.0,1/0/00,Personal Auto,Two-Door Car,350,M
LL62746,Oregon,Male,Doctor,897064.73,12829,118.0,1/0/00,Personal Auto,SUV,328,M
JQ56711,Oregon,F,Master,592311.72,92163,73.0,1/0/00,Personal Auto,Two-Door Car,66,F
AW77988,Oregon,Male,High School or Below,3585059.94,17588,192.0,1/0/00,Personal Auto,Luxury,1382,M
QP84605,Washington,F,Bachelor,870984.53,41546,111.0,1/0/00,Corporate Auto,Four-Door Car,121,F
MY97912,Arizona,Male,College,1330933.52,0,127.0,1/0/00,Personal Auto,SUV,609,M
IB87349,California,M,High School or Below,452850.49,70340,113.0,1/0/00,Special Auto,Four-Door Car,542,M
AW73065,Oregon,F,High School or Below,279190.65,0,74.0,1/0/00,Personal Auto,Four-Door Car,532,F
BW80872,Washington,M,High School or Below,443441.12,34549,111.0,1/0/00,Personal Auto,Four-Door Car,125,M
PX70175,Arizona,M,College,799600.75,93459,99.0,1/0/00,Personal Auto,Four-Door Car,655,M
KF75098,Arizona,M,Bachelor,512973.9,86148,65.0,1/2/00,Personal Auto,Four-Door Car,312,M
IS50283,California,F,Bachelor,569717.52,27048,72.0,1/0/00,Corporate Auto,Four-Door Car,345,F
MY64920,Oregon,F,College,921713.06,73259,115.0,1/0/00,Personal Auto,SUV,673,F
KN34250,Oregon,F,College,1020892.76,35482,129.0,1/0/00,Corporate Auto,SUV,619,F
GN46207,Oregon,F,Master,417068.73,29462,107.0,1/1/00,Personal Auto,SUV,513,F
KL57176,Oregon,F,College,450540.58,67801,115.0,1/1/00,Personal Auto,SUV,23,F
MN94234,California,M,High School or Below,310756.86,0,94.0,1/4/00,Personal Auto,Two-Door Car,451,M
JY90595,Arizona,M,High School or Below,552866.5,16042,73.0,1/0/00,Personal Auto,Two-Door Car,350,M
HK26543,California,M,High School or Below,504586.67,28056,64.0,1/1/00,Personal Auto,Four-Door Car,307,M
PN86062,California,M,High School or Below,296272.25,16495,85.0,1/3/00,Corporate Auto,Four-Door Car,408,M
VW27730,California,F,Master,866595.64,41163,108.0,1/0/00,Corporate Auto,SUV,231,F
SH55671,Arizona,F,College,1141344.12,0,161.0,1/1/00,Personal Auto,Luxury,772,F
MO56878,California,M,Bachelor,1548843.2,33799,109.0,1/3/00,Corporate Auto,SUV,664,M
VO38365,Washington,F,College,886114.95,90125,110.0,1/0/00,Corporate Auto,SUV,128,F
SV35618,Oregon,F,Bachelor,593474.15,87747,147.0,1/1/00,Personal Auto,SUV,46,F
RX12347,Nevada,M,College,354323.21,35695,90.0,1/0/00,Personal Auto,Four-Door Car,432,M
FR55658,California,M,Master,349002.83,90985,87.0,1/0/00,Personal Auto,Four-Door Car,78,M
XS12556,California,F,College,368309.99,0,101.0,1/0/00,Corporate Auto,Luxury,564,F
ZU73588,California,M,College,598977.39,66839,154.0,1/0/00,Personal Auto,Luxury,739,M
WT43034,California,F,High School or Below,1250084.3,0,165.0,1/0/00,Personal Auto,SUV,792,F
VM13430,Oregon,F,Bachelor,860915.82,79090,107.0,1/0/00,Corporate Auto,SUV,289,F
TC78849,Oregon,M,Bachelor,249745.51,24825,64.0,1/0/00,Personal Auto,Two-Door Car,155,M
VC34764,California,M,College,701917.72,26806,63.0,1/0/00,Personal Auto,Four-Door Car,302,M
WO90953,Oregon,F,College,538792.63,56835,67.0,1/0/00,Personal Auto,Two-Door Car,326,F
IU47468,Oregon,F,Bachelor,616555.75,0,88.0,1/0/00,Special Auto,Two-Door Car,653,F
KO46064,California,M,Bachelor,273020.29,46135,69.0,1/0/00,Personal Auto,Four-Door Car,103,M
RB34917,Arizona,F,Bachelor,516211.69,0,73.0,1/0/00,Personal Auto,Four-Door Car,809,F
BI38192,Oregon,F,High School or Below,793706.48,22862,67.0,1/0/00,Personal Auto,Two-Door Car,321,F
PU18983,Oregon,F,High School or Below,860815.72,21450,110.0,1/2/00,Personal Auto,Luxury,528,F
SW79912,Oregon,M,Bachelor,263254.58,95854,65.0,1/0/00,Personal Auto,Two-Door Car,312,M
ES39217,Oregon,F,Bachelor,778500.42,44897,99.0,1/1/00,Personal Auto,Four-Door Car,580,F
KP72427,Washington,M,High School or Below,2163983.86,64455,108.0,1/0/00,Personal Auto,SUV,133,M
UA19178,Oregon,F,Master,498082.5,53265,62.0,1/0/00,Personal Auto,Four-Door Car,238,F
PR53785,Arizona,F,High School or Below,745723.78,0,198.0,1/1/00,Personal Auto,Luxury,1577,F
XF57481,Washington,M,Master,1064093.93,50450,90.0,1/0/00,Personal Auto,Two-Door Car,135,M
CN90378,California,F,High School or Below,686250.83,54780,88.0,1/3/00,Personal Auto,Four-Door Car,135,F
KI56154,Nevada,M,High School or Below,904898.34,0,119.0,1/0/00,Personal Auto,Luxury,571,M
UI55951,California,M,Bachelor,554803.19,67798,69.0,1/0/00,Personal Auto,Four-Door Car,331,M
FF28650,Oregon,M,Bachelor,831268.16,21442,118.0,1/0/00,Personal Auto,SUV,566,M
FS55302,California,M,Bachelor,238998.1,27615,62.0,1/1/00,Personal Auto,Four-Door Car,297,M
TN79487,California,M,Bachelor,445811.34,17622,65.0,1/1/00,Personal Auto,Four-Door Car,312,M
HG32616,Nevada,M,High School or Below,529574.17,50200,135.0,1/0/00,Personal Auto,Luxury,637,M
UK41984,Arizona,F,Doctor,383960.61,0,112.0,1/2/00,Personal Auto,SUV,537,F
LZ52266,California,F,High School or Below,373150.46,0,96.0,1/0/00,Personal Auto,Four-Door Car,460,F
PM27367,California,F,Master,277890.37,73570,70.0,1/1/00,Special Auto,Two-Door Car,75,F
ZK21724,Oregon,F,High School or Below,401654.2,0,111.0,1/0/00,Personal Auto,SUV,799,F
BH35482,Washington,M,Doctor,493094.93,70412,61.0,1/0/00,Corporate Auto,Two-Door Car,136,M
QE22757,Nevada,M,Doctor,249131.7,36631,62.0,1/0/00,Personal Auto,Four-Door Car,67,M
ON77649,Oregon,F,College,290887.59,35895,73.0,1/0/00,Personal Auto,Four-Door Car,312,F
RN82884,Arizona,F,College,428294.8,40864,109.0,1/1/00,Personal Auto,SUV,166,F
CQ75652,Oregon,M,College,834162.37,0,118.0,1/0/00,Personal Auto,Four-Door Car,566,M
FF58467,Arizona,F,Master,509078.13,93018,63.0,1/0/00,Personal Auto,Four-Door Car,135,F
BS83666,Oregon,M,Bachelor,736618.83,70014,62.0,1/0/00,Corporate Auto,Four-Door Car,17,M
WO29605,Oregon,F,College,243687.51,48875,61.0,1/0/00,Personal Auto,Two-Door Car,1,F
TL77607,California,M,Bachelor,885268.87,67969,74.0,1/0/00,Personal Auto,Four-Door Car,197,M
EZ50606,Oregon,F,High School or Below,2387547.68,0,108.0,1/0/00,Corporate Auto,SUV,612,F
OS39723,Oregon,F,Doctor,560049.65,68665,69.0,1/0/00,Personal Auto,Two-Door Car,331,F
FN69743,California,M,College,463654.65,26802,66.0,1/1/00,Corporate Auto,Two-Door Car,316,M
XW96958,Nevada,M,High School or Below,757334.51,0,110.0,1/0/00,Corporate Auto,Four-Door Car,1193,M
TU92578,California,M,College,1469663.55,45345,125.0,1/0/00,Personal Auto,SUV,600,M
TL43709,Washington,M,Bachelor,897214.03,89689,74.0,1/0/00,Personal Auto,Four-Door Car,136,M
YE68736,California,F,Bachelor,772484.01,32051,193.0,1/1/00,Personal Auto,SUV,926,F
OB96537,Oregon,M,Master,594667.07,81139,74.0,1/0/00,Special Auto,Four-Door Car,392,M
EU68825,Oregon,F,Master,800054.51,63834,100.0,1/1/00,Personal Auto,Luxury,215,F
CC31456,Arizona,M,Bachelor,645756.1,37548,81.0,1/0/00,Special Auto,Four-Door Car,160,M
DJ77787,Arizona,F,High School or Below,728144.01,0,69.0,1/3/00,Personal Auto,Four-Door Car,371,F
LN26837,California,M,High School or Below,259243.78,72421,65.0,1/0/00,Personal Auto,Four-Door Car,312,M
YI92916,Nevada,M,Master,467842.34,83102,116.0,1/0/00,Corporate Auto,Four-Door Car,443,M
NW54906,Oregon,M,College,1386992.71,28432,118.0,1/0/00,Personal Auto,SUV,612,M
ME77513,Nevada,F,Master,871777.78,83707,108.0,1/0/00,Corporate Auto,Four-Door Car,290,F
UK76891,California,F,College,523398.68,63259,65.0,1/0/00,Corporate Auto,Four-Door Car,316,F
SI26888,Nevada,F,High School or Below,476418.97,0,67.0,1/0/00,Personal Auto,Four-Door Car,405,F
YD74948,Oregon,F,College,247246.92,63860,62.0,1/0/00,Personal Auto,Four-Door Car,208,F
HB64268,Washington,M,Bachelor,281369.26,43836,73.0,1/0/00,Personal Auto,Four-Door Car,138,M
BW52697,California,F,College,550505.7,86132,68.0,1/0/00,Personal Auto,Two-Door Car,301,F
NL41409,Oregon,F,Bachelor,260620.85,28519,66.0,1/0/00,Personal Auto,Two-Door Car,456,F
OD69005,Arizona,F,High School or Below,1048194.38,39102,88.0,1/0/00,Personal Auto,Four-Door Car,152,F
ZZ91716,California,F,Bachelor,325676.64,0,89.0,1/0/00,Personal Auto,Four-Door Car,491,F
UK70255,California,F,College,3047578.05,97298,128.0,1/0/00,Personal Auto,Luxury,48,F
QT25383,Nevada,M,High School or Below,636490.22,41986,84.0,1/2/00,Personal Auto,Two-Door Car,430,M
AW18068,Arizona,M,High School or Below,946850.93,0,88.0,1/0/00,Personal Auto,Two-Door Car,633,M
NS45347,Oregon,F,College,563145.19,17291,73.0,1/0/00,Personal Auto,Four-Door Car,350,F
FV19421,California,M,Bachelor,778099.93,0,74.0,1/0/00,Personal Auto,Four-Door Car,246,M
XW89091,California,M,College,981652.83,37256,62.0,1/0/00,Personal Auto,Four-Door Car,128,M
YC11951,Oregon,M,High School or Below,751913.36,96306,95.0,1/1/00,Corporate Auto,Four-Door Car,185,M
UY18770,California,F,Bachelor,1017971.7,14290,271.0,1/0/00,Personal Auto,Luxury,1300,F
RA49085,California,F,College,277283.92,37038,71.0,1/1/00,Corporate Auto,Four-Door Car,9,F
BG84194,Oregon,M,College,403750.18,90760,103.0,1/2/00,Special Auto,SUV,133,M
PT64580,Washington,M,Master,419196.61,77048,103.0,1/0/00,Personal Auto,SUV,141,M
MR67738,Oregon,F,High School or Below,267686.79,54480,67.0,1/0/00,Personal Auto,Four-Door Car,321,F
DM95829,California,M,College,252395.96,16244,68.0,1/0/00,Personal Auto,Two-Door Car,623,M
DB75522,California,F,College,698840.16,22436,89.0,1/0/00,Special Auto,Four-Door Car,427,F
LM34525,Washington,F,College,874205.78,71592,72.0,1/0/00,Personal Auto,Four-Door Car,141,F
WW30771,Arizona,M,Master,267331.96,28728,67.0,1/0/00,Personal Auto,Four-Door Car,321,M
QP65569,Arizona,M,High School or Below,1215732.99,57449,103.0,1/0/00,Personal Auto,Four-Door Car,494,M
TN50051,California,F,Doctor,295776.4,83318,73.0,1/0/00,Personal Auto,Two-Door Car,211,F
UO86707,Washington,M,Bachelor,717390.94,75217,61.0,1/1/00,Personal Auto,Four-Door Car,147,M
JA41698,Nevada,M,Bachelor,309953.8,0,102.0,1/5/00,Corporate Auto,SUV,862,M
NX18774,Oregon,M,Bachelor,841568.46,55308,107.0,1/0/00,Corporate Auto,SUV,513,M
DA69469,Oregon,F,College,2684312.45,36068,97.0,1/0/00,Personal Auto,Two-Door Car,113,F
CN23147,Oregon,M,Bachelor,1305717.07,48804,112.0,1/1/00,Corporate Auto,Four-Door Car,537,M
RA68844,Oregon,M,College,959995.02,0,131.0,1/0/00,Personal Auto,SUV,943,M
GH42026,Oregon,M,Bachelor,853510.89,55790,111.0,1/0/00,Personal Auto,SUV,117,M
BD16530,Arizona,F,Bachelor,829348.19,70258,69.0,1/0/00,Personal Auto,Four-Door Car,225,F
JH91579,Oregon,F,Bachelor,684615.03,0,95.0,1/0/00,Personal Auto,Two-Door Car,456,F
WK23685,Oregon,F,Bachelor,663685.98,47274,83.0,1/1/00,Corporate Auto,Four-Door Car,182,F
GR62267,Washington,F,College,560908.25,44705,71.0,1/0/00,Personal Auto,Two-Door Car,148,F
PI78084,Arizona,M,High School or Below,507732.09,0,73.0,1/0/00,Personal Auto,Two-Door Car,525,M
GF97874,Washington,F,Master,527562.7,70446,65.0,1/0/00,Personal Auto,Four-Door Car,155,F
ZH19885,Washington,F,High School or Below,251459.2,43860,65.0,1/0/00,Personal Auto,Four-Door Car,156,F
UK25655,Oregon,F,Bachelor,343525.01,64348,86.0,1/0/00,Personal Auto,Two-Door Car,212,F
QR45101,Oregon,M,Bachelor,662461.18,0,62.0,1/0/00,Corporate Auto,Two-Door Car,297,M
EL93539,California,M,Master,575744.23,88997,72.0,1/0/00,Special Auto,Four-Door Car,174,M
EE99484,Washington,F,High School or Below,251459.2,43860,65.0,1/0/00,Corporate Auto,Four-Door Car,156,F
DP46882,California,F,High School or Below,288645.16,10312,78.0,1/0/00,Corporate Auto,Four-Door Car,486,F
WP41146,California,F,High School or Below,534143.88,0,72.0,1/1/00,Personal Auto,Four-Door Car,345,F
TK60799,Arizona,F,High School or Below,416001.81,96263,103.0,1/0/00,Personal Auto,SUV,1,F
DN29808,California,F,College,284624.54,28919,72.0,1/0/00,Corporate Auto,Four-Door Car,518,F
SS59521,Oregon,F,College,477025.66,0,68.0,1/1/00,Personal Auto,Two-Door Car,326,F
NG66579,Oregon,M,Bachelor,505961.62,41869,64.0,1/0/00,Personal Auto,Two-Door Car,262,M
TC14209,Arizona,F,High School or Below,909574.46,0,128.0,1/0/00,Personal Auto,SUV,921,F
ED50963,California,F,High School or Below,268886.4,32808,68.0,1/1/00,Personal Auto,Four-Door Car,541,F
GP40701,California,F,Bachelor,827763.76,79780,68.0,1/0/00,Personal Auto,Four-Door Car,326,F
CP98451,Oregon,F,College,905793.53,91025,112.0,1/0/00,Personal Auto,SUV,327,F
NX52648,California,F,High School or Below,380175.04,33043,95.0,1/0/00,Personal Auto,Two-Door Car,456,F
ZC32510,Arizona,M,High School or Below,933934.16,69442,118.0,1/3/00,Personal Auto,Four-Door Car,1265,M
NG27780,Oregon,M,College,252012.32,0,70.0,1/0/00,Corporate Auto,Four-Door Car,63,M
HN95240,Arizona,F,College,498409.53,0,70.0,1/0/00,Corporate Auto,Four-Door Car,336,F
EB59129,Oregon,F,Bachelor,259574.8,47234,65.0,1/0/00,Personal Auto,Four-Door Car,15,F
RA70851,Oregon,M,High School or Below,743769.33,86863,92.0,1/0/00,Personal Auto,Four-Door Car,441,M
PM19162,Oregon,M,Bachelor,1453678.76,25805,66.0,1/2/00,Personal Auto,Four-Door Car,375,M
MS59005,Nevada,M,Bachelor,591330.59,43676,76.0,1/0/00,Personal Auto,Four-Door Car,364,M
SU71163,Arizona,M,College,277166.3,59855,74.0,1/4/00,Personal Auto,Two-Door Car,355,M
BD35676,Arizona,M,Master,2919436.64,35296,126.0,1/0/00,Personal Auto,SUV,452,M
NI44621,Oregon,F,Master,988038.58,36576,125.0,1/1/00,Personal Auto,SUV,113,F
EW33419,California,F,High School or Below,1511440.24,28513,100.0,1/1/00,Corporate Auto,SUV,480,F
HX44948,Oregon,M,Bachelor,575991.08,85448,72.0,1/0/00,Special Auto,Four-Door Car,16,M
DL36983,Oregon,F,High School or Below,849516.42,23791,110.0,1/3/00,Personal Auto,Two-Door Car,615,F
XR87264,California,F,Bachelor,438118.42,20597,112.0,1/0/00,Personal Auto,Four-Door Car,615,F
NN99001,Arizona,F,College,699782.74,56940,87.0,1/0/00,Personal Auto,Four-Door Car,512,F
XV95530,Oregon,M,Bachelor,1143058.85,93210,71.0,1/0/00,Personal Auto,Two-Door Car,74,M
OL97871,Oregon,F,Bachelor,748248.61,48992,94.0,1/1/00,Personal Auto,Four-Door Car,426,F
HQ23708,Arizona,F,Master,859691.66,53736,71.0,1/0/00,Personal Auto,Two-Door Car,169,F
WR63188,Arizona,M,College,785496.08,25378,66.0,1/1/00,Personal Auto,Four-Door Car,419,M
NG82219,Oregon,F,Bachelor,258240.85,76731,64.0,1/0/00,Personal Auto,Four-Door Car,201,F
KU29408,Washington,M,Master,907576.82,37722,116.0,1/0/00,Corporate Auto,Luxury,158,M
RE46783,California,F,Bachelor,411858.86,69379,103.0,1/0/00,Personal Auto,Two-Door Car,494,F
RU94434,Oregon,M,High School or Below,1215732.99,57449,103.0,1/0/00,Personal Auto,Four-Door Car,494,M
GI82355,Arizona,M,Bachelor,515281.96,0,68.0,1/0/00,Corporate Auto,Four-Door Car,326,M
VO26340,Nevada,M,College,651297.65,0,93.0,1/0/00,Personal Auto,Two-Door Car,669,M
NV61299,Arizona,F,Bachelor,2778969.24,33806,89.0,1/0/00,Corporate Auto,Four-Door Car,395,F
DX31066,Washington,F,College,266727.0,94041,66.0,1/0/00,Personal Auto,Four-Door Car,159,F
CY50337,Oregon,F,College,1092840.71,74965,90.0,1/0/00,Personal Auto,Four-Door Car,58,F
TJ20375,Arizona,F,High School or Below,761538.13,34095,63.0,1/0/00,Personal Auto,Two-Door Car,302,F
EP72155,California,F,College,200435.07,0,66.0,1/4/00,Personal Auto,Four-Door Car,316,F
JJ76159,California,M,College,243468.12,96045,61.0,1/0/00,Corporate Auto,Four-Door Car,8,M
BG15419,Nevada,F,Bachelor,1419536.03,86355,118.0,1/0/00,Personal Auto,Luxury,285,F
AO74776,California,F,High School or Below,942768.49,27824,118.0,1/0/00,Personal Auto,SUV,566,F
HQ82233,California,M,High School or Below,1198242.09,42995,101.0,1/0/00,Personal Auto,SUV,410,M
OL72737,Oregon,F,High School or Below,310278.95,21235,79.0,1/0/00,Personal Auto,Two-Door Car,244,F
ZQ59828,California,M,High School or Below,422263.12,74585,106.0,1/0/00,Personal Auto,SUV,218,M
NZ15548,Oregon,M,Bachelor,402381.44,41833,103.0,1/0/00,Personal Auto,Four-Door Car,643,M
XK61304,California,F,College,529715.18,23908,70.0,1/0/00,Personal Auto,Four-Door Car,336,F
EJ44139,Oregon,M,Bachelor,2142363.72,0,65.0,1/0/00,Personal Auto,Two-Door Car,312,M
CM94425,Arizona,M,Bachelor,441620.62,61953,113.0,1/0/00,Personal Auto,SUV,497,M
OV54878,California,M,Bachelor,463903.52,0,142.0,1/0/00,Corporate Auto,SUV,1022,M
JF57282,Nevada,M,Bachelor,486354.46,0,137.0,1/0/00,Personal Auto,SUV,657,M
MY37953,Arizona,F,Bachelor,2583090.98,73760,107.0,1/1/00,Personal Auto,Luxury,230,F
XP64922,Oregon,F,College,297431.49,23333,74.0,1/0/00,Corporate Auto,Four-Door Car,5,F
WL65572,California,M,College,206445.88,0,61.0,1/0/00,Personal Auto,Four-Door Car,292,M
LN50325,Arizona,F,High School or Below,1006460.83,20440,128.0,1/2/00,Corporate Auto,Luxury,614,F
HJ15383,Washington,M,Master,803240.19,27658,68.0,1/0/00,Personal Auto,Four-Door Car,160,M
KH59823,California,M,College,548921.41,50943,139.0,1/0/00,Special Auto,SUV,667,M
YM79169,California,M,Bachelor,261275.67,19003,71.0,1/0/00,Personal Auto,Two-Door Car,34,M
DR38127,California,M,College,857346.39,46703,108.0,1/0/00,Personal Auto,Four-Door Car,678,M
PU42145,California,M,Bachelor,2412750.4,14072,71.0,1/0/00,Personal Auto,Four-Door Car,511,M
KM33477,Oregon,M,College,855038.66,21733,73.0,1/0/00,Corporate Auto,Four-Door Car,525,M
RI53167,Arizona,M,Bachelor,230864.8,20811,61.0,1/0/00,Personal Auto,Four-Door Car,292,M
OF77789,Arizona,F,High School or Below,425462.07,11904,61.0,1/2/00,Personal Auto,Two-Door Car,292,F
YB33445,Oregon,F,College,898285.04,43490,114.0,1/4/00,Corporate Auto,SUV,174,F
BA17836,California,M,High School or Below,786816.6,57340,67.0,1/0/00,Corporate Auto,Four-Door Car,159,M
JS43228,California,M,College,770424.87,49088,97.0,1/0/00,Corporate Auto,Four-Door Car,698,M
BB11622,Nevada,M,Master,1055217.0,47761,131.0,1/0/00,Personal Auto,SUV,232,M
HQ70429,Washington,F,College,1604510.95,0,65.0,1/0/00,Personal Auto,Two-Door Car,163,F
WK88044,Arizona,M,Bachelor,873783.75,61281,110.0,1/0/00,Personal Auto,SUV,79,M
LA80525,Nevada,M,Bachelor,545489.07,0,82.0,1/1/00,Corporate Auto,Two-Door Car,393,M
EH16250,Arizona,M,Bachelor,770528.33,25290,66.0,1/0/00,Personal Auto,Four-Door Car,382,M
PU41872,Arizona,F,High School or Below,703926.24,24239,88.0,1/0/00,Personal Auto,Four-Door Car,48,F
HB85743,California,M,Bachelor,883808.56,82664,114.0,1/3/00,Personal Auto,SUV,133,M
MM71959,Arizona,M,Bachelor,873352.73,83210,110.0,1/0/00,Personal Auto,Luxury,528,M
MB83663,Oregon,F,Bachelor,959747.48,38736,81.0,1/0/00,Personal Auto,Two-Door Car,561,F
KR43119,California,M,College,450666.02,0,66.0,1/0/00,Personal Auto,Four-Door Car,316,M
KH24214,Oregon,M,College,1785797.23,55437,64.0,1/1/00,Personal Auto,Four-Door Car,445,M
AC40767,Washington,M,Bachelor,249780.82,68041,6464.0,1/0/00,Personal Auto,Two-Door Car,165,M
HP55391,Oregon,M,Master,542613.62,0,71.0,1/0/00,Corporate Auto,Four-Door Car,407,M
EG62398,California,F,High School or Below,799814.38,29066,100.0,1/0/00,Personal Auto,SUV,844,F
VS19949,Nevada,M,Bachelor,289762.07,54337,72.0,1/0/00,Personal Auto,Four-Door Car,345,M
AM92343,Oregon,F,High School or Below,1159950.22,67616,96.0,1/0/00,Personal Auto,Four-Door Car,340,F
GI68556,California,F,Bachelor,1514793.06,41082,63.0,1/0/00,Personal Auto,Two-Door Car,106,F
JT11876,Washington,F,High School or Below,543576.78,0,10202.0,1/0/00,Personal Auto,Four-Door Car,626,F
XR64251,Nevada,F,Master,272535.64,36650,69.0,1/1/00,Personal Auto,Four-Door Car,56,F
MK34957,Oregon,F,College,1329771.23,50631,112.0,1/4/00,Special Auto,SUV,784,F
GP18756,California,M,College,992704.97,19592,92.0,1/0/00,Personal Auto,Four-Door Car,441,M
AP23850,Washington,F,High School or Below,1777154.9,0,114.0,1/0/00,Personal Auto,Two-Door Car,547,F
KQ65521,Arizona,F,College,1826927.02,55761,115.0,1/0/00,Personal Auto,Luxury,86,F
EJ19449,California,F,College,272221.07,17576,71.0,1/0/00,Special Auto,Four-Door Car,398,F
QB70027,California,F,Bachelor,708321.24,41449,89.0,1/0/00,Personal Auto,Four-Door Car,63,F
QW47320,California,F,Bachelor,1017971.7,14290,271.0,1/0/00,Personal Auto,Luxury,1300,F
KH64733,Nevada,F,College,588950.91,62007,73.0,1/0/00,Personal Auto,Four-Door Car,120,F
ON59472,Arizona,M,High School or Below,1577139.34,21921,206.0,1/0/00,Corporate Auto,Luxury,1254,M
HP94242,Arizona,F,Bachelor,528817.33,42621,66.0,1/0/00,Personal Auto,Four-Door Car,316,F
RV15398,Oregon,M,College,2758055.4,0,87.0,1/1/00,Personal Auto,Four-Door Car,417,M
EA25683,Washington,M,High School or Below,777853.23,63786,196.0,1/0/00,Corporate Auto,Luxury,798,M
PW73754,California,F,High School or Below,734186.13,0,104.0,1/3/00,Personal Auto,Luxury,82,F
MC71942,California,F,High School or Below,791919.7,82877,99.0,1/1/00,Personal Auto,Two-Door Car,22,F
OX72195,Arizona,M,College,216387.02,0,63.0,1/0/00,Corporate Auto,Two-Door Car,302,M
YQ99152,Nevada,M,High School or Below,978780.88,10475,88.0,1/1/00,Personal Auto,Two-Door Car,422,M
KI19439,Oregon,F,High School or Below,520764.08,21952,66.0,1/0/00,Personal Auto,Four-Door Car,316,F
PM76175,Oregon,F,Bachelor,2114727.72,49721,132.0,1/0/00,Corporate Auto,Luxury,639,F
US45383,California,M,College,1228076.66,88340,102.0,1/0/00,Personal Auto,Two-Door Car,489,M
GT38956,California,F,College,244139.42,0,65.0,1/0/00,Personal Auto,Four-Door Car,312,F
SN41301,Oregon,M,Bachelor,653556.06,0,65.0,1/0/00,Corporate Auto,Four-Door Car,468,M
BE62503,Washington,F,College,920659.83,24589,82.0,1/0/00,Personal Auto,Two-Door Car,511,F
PA16884,California,F,Bachelor,411858.86,69379,103.0,1/0/00,Personal Auto,Two-Door Car,494,F
NC58480,Nevada,F,Bachelor,483820.9,73769,61.0,1/2/00,Personal Auto,Four-Door Car,239,F
NS39326,California,F,College,462554.81,66670,114.0,1/0/00,Personal Auto,SUV,518,F
PN18507,Arizona,M,Bachelor,1404210.3,88854,118.0,1/0/00,Personal Auto,Two-Door Car,715,M
EK91340,Oregon,M,Bachelor,754661.35,31266,193.0,1/0/00,Corporate Auto,Luxury,926,M
JY16280,California,F,High School or Below,251459.2,43860,65.0,1/0/00,Personal Auto,Four-Door Car,156,F
ZW71731,California,M,Bachelor,517035.84,89284,133.0,1/2/00,Corporate Auto,SUV,402,M
ZC24631,Oregon,M,College,1391737.72,67267,89.0,1/0/00,Corporate Auto,Four-Door Car,94,M
YR34689,California,F,High School or Below,1131813.08,79270,95.0,1/3/00,Personal Auto,Four-Door Car,456,F
RT65829,Oregon,M,Bachelor,427636.36,36692,109.0,1/1/00,Personal Auto,Four-Door Car,523,M
BZ12077,Oregon,F,High School or Below,432224.03,0,119.0,1/0/00,Personal Auto,SUV,571,F
WM65373,California,F,College,800230.83,0,107.0,1/0/00,Corporate Auto,SUV,513,F
NH35059,Nevada,M,College,388545.64,0,105.0,1/0/00,Corporate Auto,Four-Door Car,504,M
QD38160,Oregon,M,College,447177.82,0,135.0,1/0/00,Personal Auto,SUV,972,M
BM15160,California,F,High School or Below,849635.28,44624,71.0,1/1/00,Special Auto,Four-Door Car,73,F
VY79030,Arizona,F,College,2250088.35,0,71.0,1/0/00,Corporate Auto,Four-Door Car,340,F
EV19512,Nevada,F,Master,1630196.76,19614,85.0,1/0/00,Personal Auto,Two-Door Car,574,F
TE13577,Oregon,F,College,231973.59,0,64.0,1/0/00,Personal Auto,Four-Door Car,632,F
WY97929,Arizona,M,College,871704.98,83846,74.0,1/3/00,Special Auto,Four-Door Car,355,M
YG20683,Washington,M,College,286011.17,51159,72.0,1/0/00,Personal Auto,Four-Door Car,4,M
FK75497,California,M,College,245340.83,83772,62.0,1/0/00,Personal Auto,Two-Door Car,42,M
NE60110,Arizona,M,College,598977.39,66839,154.0,1/0/00,Personal Auto,Luxury,739,M
TN36521,Arizona,F,College,2498022.55,88440,70.0,1/0/00,Personal Auto,Two-Door Car,27,F
HG33568,Arizona,F,Master,748263.95,25666,63.0,1/2/00,Personal Auto,Four-Door Car,270,F
TW17878,Oregon,F,High School or Below,245757.6,52926,61.0,1/0/00,Personal Auto,Four-Door Car,292,F
ZO83562,Nevada,F,Bachelor,237974.12,0,67.0,1/0/00,Personal Auto,Four-Door Car,494,F
CH97539,Washington,F,Bachelor,828696.44,40001,70.0,1/0/00,Personal Auto,Four-Door Car,142,F
CV29889,California,M,College,239391.54,0,70.0,1/0/00,Personal Auto,Four-Door Car,425,M
MO33320,Oregon,M,College,465715.95,18024,65.0,1/0/00,Personal Auto,Two-Door Car,312,M
QZ81258,Oregon,F,College,1319792.89,0,68.0,1/3/00,Personal Auto,Four-Door Car,326,F
